Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Year
Grand Theft Auto: San Andreas,PS2,Rockstar Games,Action,20.8,9.43,0.4,0.41,9.8,2004
Grand Theft Auto V,PS4,Rockstar Games,Action,19.4,6.06,9.71,0.6,10,2014
Grand Theft Auto V,X360,Rockstar Games,Action,15.9,9.06,5.33,0.06,9.4,2013
Grand Theft Auto IV    Read the review,X360,Rockstar Games,Action,11.1,6.8,3.11,0.14,8.6,2008
Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment,Action,10.3,4.49,3.93,0.21,9.8,2016
Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games,Action,7.7,2.9,2.83,0.24,8.9,2005
Uncharted 2: Among Thieves    Read the review,PS3,Sony Computer Entertainment,Action,6.7,3.28,2.22,0.21,5.8,2009
Red Dead Redemption    Read the review,X360,Rockstar Games,Action,6.5,3.77,2.03,0.09,4.5,2010
God of War (2018)    Read the review,PS4,Sony Interactive Entertainment,Action,6.2,2.83,2.17,0.13,5,2018
Metal Gear Solid,PS,Konami,Action,6,3.18,1.83,0.78,4.2,1998
Resident Evil 2,PS,Capcom,Action,5.8,1.88,1.47,2.02,5.4,1998
Assassin's Creed    Read the review,X360,Ubisoft,Action,5.6,3.28,1.64,0.07,3.5,2007
Assassin's Creed II    Read the review,X360,Ubisoft,Action,5.3,3.14,1.55,0.08,3.8,2009
Grand Theft Auto: Vice City Stories,PSP,Rockstar Games,Action,5.1,1.7,2.03,0.16,4.5,2006
Uncharted: Drake's Fortune    Read the review,PS3,Sony Computer Entertainment,Action,5,2.32,1.73,0.12,4.7,2007
God of War III    Read the review,PS3,Sony Computer Entertainment,Action,4.8,2.74,1.36,0.12,3.6,2010
Batman: Arkham City,X360,Warner Bros. Interactive,Action,4.8,2.99,1.28,0.04,2.4,2011
Monster Hunter: World,PS4,Capcom,Action,4.7,1.03,1.06,2.17,3.8,2018
Tomb Raider,PS,Eidos Interactive,Action,4.6,2.29,1.97,0.13,4,1996
God of War,PS2,Sony Computer Entertainment,Action,4.4,2.71,1.29,0.02,2.8,2005
Assassin's Creed: Revelations    Read the review,PS3,Ubisoft,Action,4.2,1.41,2.03,0.1,2.9,2011
Assassin's Creed: Revelations,X360,Ubisoft,Action,4.2,2.28,1.47,0.04,3,2011
Assassin's Creed: Unity,PS4,Ubisoft,Action,4.1,1.25,2.16,0.09,3.5,2014
God of War II,PS2,Sony Computer Entertainment,Action,4.1,2.32,0.04,0.04,2.1,2007
Far Cry 5,PS4,Ubisoft,Action,4,1.44,1.73,0.15,3.7,2018
Harry Potter and the Sorcerer's Stone,PS,Electronic Arts,Action,3.7,1.37,2,0.14,2.4,2001
Resident Evil 4,PS2,Capcom,Action,3.6,2.08,0.83,0.46,3.6,2005
Assassin's Creed Syndicate,PS4,Ubisoft,Action,3.6,0.9,2.06,0.08,3.8,2015
