Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Release_Date,Year
Blackthorne,GBA,Blizzard Entertainment,Action,0.01,0.01,0,,,17-ספט-03,2003
Construction Simulator 2015,PC,Unknown,Action,0.01,,0.01,,,,
Kaitou Rousseau,DS,Namco,Action,0.01,,,0.01,,15-יונ-06,2006
Unbox: Newbie's Adventure,NS,Merge Games,Action,0.01,,0.01,,,01-נוב-17,2017
Aquaman: Battle for Atlantis,XB,TDK Mediactive,Action,0.01,0.01,0,,,30-יול-03,2003
Infinite Stratos 2: Love and Purge,PSV,5pb,Action,0.01,,,0.01,,03rd Sep 15,2015
Bullet Girls: Phantasia,PSV,D3 Publisher,Action,0.01,,,0.01,,09-אוג-18,2018
Yoku's Island Express,PS4,Villa Gorilla,Action,0.01,0.01,,,,19-יונ-18,2018
Axiom Verge,PSV,Thomas Happ Games,Action,0.01,0.01,,,,31-מרץ-15,2015
Irotoridori no Sekai: World's End Re-Birth,PSV,HuneX,Action,0.01,,,0.01,,19-מרץ-15,2015
SoulCalibur Legends (JP sales),Wii,Namco Bandai,Action,0.01,,,0.01,,20-נוב-07,2007
Order Up!!,3DS,Ignition Entertainment,Action,0.01,0,0.01,,,31-אוג-12,2012
Fuun Shinsengumi Bakumatsuden Portable,PSP,Unknown,Action,0.01,0.01,,,,31-דצמ-13,2013
Double Pack Tomb Raider: Legend / Anniversary,PSP,Eidos Interactive,Action,0.01,,0.01,,,09-אפר-09,2009
Sengoku Basara 2 Heroes,Wii,Capcom,Action,0.01,,,0.01,,29-נוב-07,2007
Aquaman: Battle for Atlantis,GC,TDK Mediactive,Action,0.01,0.01,0,,,23rd Jul 03,2003
Simple DS Series Vol. 41: The Bakudan Shori-Han,DS,D3 Publisher,Action,0.01,,,0.01,,10-יול-08,2008
Rainbow Islands: Revolution,PSP,Codemasters,Action,0.01,0.01,0,,,22nd Jan 08,2008
Nari Kids Park: Hugtto! PreCure,NS,Bandai Namco Games,Action,0.01,,,0.01,,21-נוב-18,2018
Dinotopia: The Sunstone Odyssey,XB,TDK Mediactive,Action,0.01,0.01,0,,,05-אוג-03,2003
Kenka Banchou Portable,PSP,Spike,Action,0.01,,,0.01,,29-אוק-09,2009
Monster High: New Ghoul in School,Wii,Little Orbit,Action,0.01,,0.01,,,27-אוק-15,2015
Winx Club: Saving Alfea,3DS,Namco Bandai Games,Action,0.01,,0.01,,,31-אוק-14,2014
Warriors Orochi 3,NS,Tecmo Koei,Action,0.01,,,0.01,,09-נוב-17,2017
Tenchu San Portable,PSP,From Software,Action,0.01,,,0.01,,27-אוג-09,2009
Teenage Mutant Ninja Turtles (3DS),3DS,Activision,Action,0.01,0.01,,,,22nd Oct 13,2013
Shin Sangoku Musou 4 Special,X360,KOEI,Action,0.01,,,0.01,,22nd Dec 05,2005
Madagascar: Escape 2 Africa,PC,Activision,Action,0.01,0.01,,,,04-נוב-08,2008
Zombi,XOne,Ubisoft,Action,0.01,,0.01,,,21-ינו-16,2016
"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",PSV,Idea Factory,Action,0.01,,,0.01,,25-יונ-15,2015
